Default RefreshRate	(seems to be 0x04)	I2C Wire Clock	400000	
Start: Params Read	End: Serial Print	Cycle Duration	Time btwn Cycle	Total Time (s)
201	903	702		
1185	1918	733	282	
2201	2934	733	283	
3217	3949	732	283	
4232	4965	733	283	
5248	5980	732	283	
6262	6995	733	282	
7278	8011	733	283	
8294	9026	732	283	
		729.2222222	282.75	1.011972222
				
8Hz RefreshRate	0x04	I2C Wire Clock	400000	
Start: Params Read	End: Serial Print	Cycle Duration	Time btwn Cycle	Total Time (s)
201	918	717		
1200	1933	733	282	
2213	2947	734	280	
3227	3960	733	280	
4242	4974	732	282	
5256	5988	732	282	
6269	7003	734	281	
7283	8015	732	280	
8298	9030	732	283	
9312	10045	733	282	
10326	11059	733	281	
11340	12072	732	281	
12354	13086	732	282	
		731.4615385	281.3333333	1.012794872
				
0.5Hz RefreshRate	0x00	I2C Wire Clock	400000	
Start: Params Read	End: Serial Print	Cycle Duration	Time btwn Cycle	Total Time (s)
202	1682	1480		
3485	5739	2254	1803	
7542	9796	2254	1803	
11598	13852	2254	1802	
15655	17909	2254	1803	
		2099.2	1802.75	3.90195
				
16Hz RefreshRate	0x05	I2C Wire Clock	400000	
Start: Params Read	End: Serial Print	Cycle Duration	Time btwn Cycle	Total Time (s)
202	581	379		
603	980	377	22	
1002	1382	380	22	
1403	1782	379	21	
1804	2184	380	22	
2205	2583	378	21	
2605	2983	378	22	
3005	3385	380	22	
3405	3784	379	20	
3806	4185	379	22	
4206	4585	379	21	
4606	4985	379	21	
5007	5386	379	22	
5407	5786	379	21	
5808	6187	379	22	
		378.9333333	21.5	0.400433333
				
16Hz RefreshRate	0x05	I2C Wire Clock	800000	
Start: Params Read	End: Serial Print	Cycle Duration	Time btwn Cycle	Total Time (s)
176	548	372		
564	935	371	16	
951	1324	373	16	
1339	1712	373	15	
1727	2099	372	15	
2114	2486	372	15	
2501	2873	372	15	
2888	3261	373	15	
3276	3649	373	15	
3664	4038	374	15	
4054	4424	370	16	
4440	4812	372	16	
4828	5199	371	16	
5215	5587	372	16	
5603	5975	372	16	
5990	6364	374	15	
6379	6750	371	15	
		372.1764706	15.4375	0.387613971
Note: First reading included ? Variables				
				
16Hz RefreshRate	0x05	I2C Wire Clock	400000	
Start: Params Read	End: Serial Print	Cycle Duration	Time btwn Cycle	Total Time (s)
202	486	284		
506	789	283	20	
809	1093	284	20	
1115	1398	283	22	
1419	1703	284	21	
1724	2009	285	21	
2030	2314	284	21	
2335	2619	284	21	
2639	2923	284	20	
		283.8888889	20.75	0.304638889
				
16Hz RefreshRate	0x05	I2C Wire Clock	800000	
Start: Params Read	End: NO PRINT	Cycle Duration	Time btwn Cycle	Total Time (s)
176	453	277		
468	746	278	15	
761	1039	278	15	
1053	1332	279	14	
1346	1624	278	14	
1639	1915	276	15	
1931	2208	277	16	
2224	2501	277	16	
2516	2794	278	15	
2809	3086	277	15	
3101	3379	278	15	
3393	3671	278	14	
3686	3963	277	15	
3979	4256	277	16	
		277.5	15	0.2925
